id,person,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_hashtag,created,session_id
90,91,3649,Enchilada Casserole,B,10,unhealthy,"['#HealthyEnchiladaCasserole', '#LowFatHighProteinDish', '#NutritiousCasseroleRecipe', '#FSA10Enchilada', '#375CalorieMeal', '#WeightLossFriendlyMeal']",2024-12-12 13:39:58.345488+00:00,dars143854_91udzgi
89,90,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowFatHighProtein', '#BalancedMealOption', '#DeliciousAndNutritious', '#FSA5Approved', '#WeightManagementFriendly']",2024-12-12 10:47:47.234856+00:00,dars114624_90apitk
88,89,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyEating', '#LowCalorie', '#HighProtein', '#NutritiousMeal', '#GoodFSArating', '#CleanEating']",2024-12-12 10:40:28.667122+00:00,dars113756_89rbdvy
87,88,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowFatHighProtein', '#NutritiousMeal', '#FSA5Approved', '#185Calories', '#EasyHealthyRecipe']",2024-12-12 10:40:15.422597+00:00,dars113719_88sinfq
86,87,5569,Luscious Chicken Pot Pie,A,10,unhealthy,"['#UnhealthyIndulgence', '#HighCalPie', '#FattyChickenMeal', '#CalorificComfortFood', '#HeartAttackOnAPlate', '#SedentarySupper']",2024-12-12 10:39:01.351787+00:00,dars113632_87ixoor
85,86,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowCalorieDinner', '#ProteinPackedMeal', '#NutritiousPastaRecipe', '#BalancedDietOption', '#TastyAndGoodForYou']",2024-12-12 10:38:16.063730+00:00,dars113538_86asxri
84,85,2803,Divine Spaghetti Sauce,A,6,healthy,"['#HealthySpaghettiSauce', '#LowFatHighProtein', '#NutritiousAndDelicious', '#FSA6Approved', '#CalorieFriendlyMeal', '#BalancedDietOption']",2024-12-12 10:36:43.096452+00:00,dars113525_85jntrd
83,84,3735,Hawaiian Chicken II,C,10,unhealthy,"['#UnhealthyHawaiianChickenII', '#HighCalorieDish', '#HighFatMeal', '#LowProteinOption', '#NotForWeightLoss', '#NotRecommendedForInactiveLifestyle']",2024-12-12 10:35:48.588954+00:00,dars113435_84txjyz
82,83,5569,Luscious Chicken Pot Pie,A,10,unhealthy,"['#UnhealthyChickenPotPie', '#HighCalorieDish', '#FattyMeal', '#AvoidIfWatchingWeight', '#NotRecommendedForRegularDiet', '#SkipThisPotPie']",2024-12-11 16:01:29.515264+00:00,dars165937_83hbuoo
81,82,91,Homemade Black Bean Veggie Burgers,A,5,healthy,"['#HealthyBurgers', '#NutritiousMeals', '#LowCalorieCooking', '#VeggieBurgerDelight', '#ProteinPackedEats', '#FSA5Approved']",2024-12-11 15:17:45.328240+00:00,dars161612_82cyqbz
80,81,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSA4Score', '#NutrientPackedMeal', '#CalorieFriendly', '#EnergizingDish']",2024-12-11 15:05:50.592134+00:00,dars160359_81gsehd
79,80,561,Moroccan Tagine,A,6,healthy,"['#HealthyEats', '#LowCalorie', '#Nutritious', '#FSA6Approved', '#Nourishing', '#ProteinPacked']",2024-12-11 15:05:43.550659+00:00,dars160336_80lynzv
78,73,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowCalorieDish', '#HighProteinMeal', '#NutritiousPasta', '#FSA5Approved', '#FitnessFuel']",2024-12-11 14:04:39.013209+00:00,dars145225_73nbcpb
77,78,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyEatingWithApple', '#LowFatHighProtein', '#DeliciouslyNutritious', '#FSA6Approved', '#EnergyBoostingMeal', '#QuickAndEasyCooking']",2024-12-11 14:03:11.395353+00:00,dars145934_78vqkwt
76,77,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#ProteinPackedMeal', '#LowCalorieDinner', '#NutritiousAndDelicious', '#BalancedMealOption', '#SimpleAndSatisfying']",2024-12-11 14:00:12.504676+00:00,dars145433_77yfbbi
75,75,3573,Raspberry Truffle Fudge,E,10,unhealthy,"['#DecadentIndulgence', '#HighFatLowProtein', '#UnhealthyTreat', '#FSA10', '#HighCalories', '#NotRecommended']",2024-12-11 13:57:13.028831+00:00,dars145424_75zljsi
74,76,1151,One Pot Pinto Beans,A,5,healthy,"['#NutritiousBeans', '#HealthyEating', '#LowFatHighProtein', '#FillingandHealthy', '#QuickMealOption', '#BalancedDiet']",2024-12-11 13:57:08.164704+00:00,dars145432_76sozmk
73,66,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,"['#HealthyEating', '#NutritiousMeal', '#LowCalorieDinner', '#HighProteinDish', '#FSA6Approved', '#EasySlowCookerRecipe']",2024-12-11 13:55:49.248643+00:00,dars145121_66bpyob
72,68,236,Imitation Meatloaf,A,6,healthy,"['#HealthyMeatloafRecipe', '#HighProteinMeatloaf', '#LowFatMeal', '#GoodForWeightGain', '#QuickAndEasyRecipe', '#NutrientRichDinner']",2024-12-11 13:55:19.415593+00:00,dars145154_68ijwti
71,71,2803,Divine Spaghetti Sauce,A,6,healthy,"['#DivineSpaghettiSauce', '#HealthyIngredients', '#LowFatHighProtein', '#FSA6', '#534Calories', '#CookingForWellness']",2024-12-11 13:54:35.479251+00:00,dars145207_71iguje
70,74,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyBlondeChickenChili', '#LowFatHighProteinChili', '#NutritiousChickenChili', '#FSAapprovedChiliRecipe', '#CalorieFriendlyChili', '#ProteinPackedChili']",2024-12-11 13:54:21.678127+00:00,dars145300_74flbak
69,61,2329,Lentil Loaf,A,5,healthy,"['#HealthyEatingWithLentilLoaf', '#LowFatHighProteinMeal', '#NutrientPackedLentilLoaf', '#FSA5ApprovedLentilLoaf', '#TastyAndHealthyLentilLoaf', '#FuelYourBodyWithLentilLoaf']",2024-12-11 13:54:10.336921+00:00,dars145015_61wshqt
68,64,3735,Hawaiian Chicken II,C,10,unhealthy,"['#UnhealthyMeal', '#HighFatContent', '#HighCalorie', '#LowFSA', '#NotRecommended', '#SkipThisMeal']",2024-12-11 13:54:00.963187+00:00,dars145117_64bunng
67,72,2483,House Fried Rice,B,6,healthy,"['#HealthyHouseFriedRice', '#LowFatHighProtein', '#NutritiousAndDelicious', '#FSA6Approved', '#BalancedMealOption', '#SimpleAndSatisfying']",2024-12-11 13:53:35.155123+00:00,dars145216_72yenpz
66,70,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#FlavorfulGingerBeef', '#LowCalorieDish', '#HighProteinMeal', '#NutrientPackedSkewers', '#NutritionistApproved']",2024-12-11 13:53:31.684781+00:00,dars145206_70axlvw
65,69,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowCalorieDish', '#HighProteinMeal', '#NutritiousIngredients', '#GuiltFreeDining', '#FSA5StarChickenPasta']",2024-12-11 13:53:23.789321+00:00,dars145201_69spqed
64,67,5822,Anniversary Chicken I,B,10,unhealthy,"['#UnhealthyChickenRecipe', '#HighCalorieChicken', '#FattyChickenDish', '#NotRecommendedForWeightLoss', '#LowNutrientValueChicken', '#AvoidIfInactive']",2024-12-11 13:53:20.072136+00:00,dars145152_67skizz
63,65,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyEating', '#FiberRich', '#ProteinPacked', '#LowFatMeal', '#FullOfFlavor', '#FSA6']",2024-12-11 13:52:16.487282+00:00,dars145117_65nksah
62,62,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyHoisinGingerBeefSkewers', '#NutrientRichBeefSkewers', '#LowCalorieHighProteinSkewers', '#LeanBeefHealthyOption', '#FSA6ApprovedSkewers', '#ProteinPackedMealOption']",2024-12-11 13:52:09.913391+00:00,dars145042_62ikgwz
61,63,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#LowCalorieDish', '#ProteinPackedMeal', '#NutrientRichIngredients', '#FSA6Approved', '#LeanBeefOption']",2024-12-11 13:52:08.798583+00:00,dars145104_63egexj
60,60,2746,Hearty Hamburger Soup,A,5,healthy,"['#HealthyHamburgerSoup', '#LowFatHighProtein', '#NutritiousAndDelicious', '#FSA5Approved', '#CalorieConsciousMeal', '#SatisfyingSoupOption']",2024-12-11 13:51:18.867043+00:00,dars144920_60lnbhu
59,56,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSAapprovedRecipe', '#NutrientRichMeal', '#WeightLossFriendly', '#EasyAndQuickDinner']",2024-12-11 13:51:04.087177+00:00,dars144743_56fymok
58,59,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyEatingWithHoisinGinger', '#LowCalBeefSkewers', '#LeanProteinDelight', '#NutrientPackedSkewers', '#BalancedDietOption', '#HeartHealthyMealChoice']",2024-12-11 13:50:27.043036+00:00,dars144917_59lxobg
57,58,2483,House Fried Rice,B,6,healthy,"['#HealthyEating', '#LowFatOption', '#HighProteinMeal', '#DeliciouslyNutritious', '#FSA6Approved', '#BalancedDiet']",2024-12-11 13:50:16.695726+00:00,dars144837_58jotjx
56,57,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowCalorieDish', '#HighProteinMeal', '#BalancedNutrition', '#FSA5Rating', '#DeliciousAndNutritious']",2024-12-11 13:49:27.892399+00:00,dars144816_57yykjz
55,55,3649,Enchilada Casserole,B,10,unhealthy,"['#HealthyEnchiladaCasserole', '#LowCalorieMexicanDish', '#ProteinPackedMeal', '#BalancedDietOption', '#NotRecommendedForWeightLoss', '#HighFatContent']",2024-12-11 11:25:07.639579+00:00,dars120855_55vqely
54,54,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSA6outof6', '#LowCalorieDinner', '#NutrientRichMeal', '#HighProteinLowFat']",2024-12-11 11:02:34.085524+00:00,dars120101_54mpkyi
53,53,3992,Raspberry Almond Coffeecake,D,10,unhealthy,"['#HealthyBaking', '#NuttyGoodness', '#LowCalorieTreat', '#AlmondObsession', '#IndulgeInModeration', '#NutrientRichTreats']",2024-12-11 10:54:33.435735+00:00,dars115247_53kmqni
52,52,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyAndDeliciousPorkTenderloin', '#LowFatHighProteinMeal', '#NutrientRichAppleGlazedPork', '#EasyPrepHighFSARecipe', '#TastyAndBalancedDish', '#SatisfyingLowCalorieMeal']",2024-12-11 10:36:31.180286+00:00,dars113337_52cgnmr
51,51,2282,Pasta Fagioli Soup II,A,6,healthy,"['#HealthyPastaFagioliSoup', '#NutritiousIngredients', '#LowFatHighProteinSoup', '#FSA6ApprovedRecipe', '#288CaloriesPerServing', '#DeliciousAndHealthySoup']",2024-12-11 10:30:53.104058+00:00,dars112805_51mvxqa
50,48,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowFatHighProtein', '#FSA5Approved', '#185Calories', '#DeliciouslyHealthy', '#EasyMealPrep']",2024-12-11 10:29:42.788826+00:00,dars112715_48piawb
49,50,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBlackBeanStew', '#ProteinPackedMeal', '#NutritiousBrazilianStew', '#LowFatHighProtein', '#PerfectFSA6Score', '#DeliciousAndNutritious']",2024-12-11 10:28:52.065137+00:00,dars112756_50sgbvp
48,49,936,Pork Chop and Cabbage Casserole,A,4,healthy,"['#HealthyPorkChopCasserole', '#LowFatHighProteinMeal', '#NutrientPackedDinner', '#EasyHealthyRecipe', '#FitFoodsForLife', '#BalancedAndDelicious']",2024-12-11 10:28:43.842650+00:00,dars112715_49iqnaq
47,47,2075,Turkey Goulash,A,6,healthy,"['#HealthyTurkeyGoulash', '#LowFatHighProtein', '#NutritiousMeal', '#BalancedDietOption', '#FSA6Approved', '#311Calories']",2024-12-11 10:28:02.052717+00:00,dars112649_47pzglz
46,46,6345,Pasta Sauce with Italian Sausage,C,10,unhealthy,"['#ItalianSausagePastaSauce', '#UnhealthySauce', '#HighCalorieDish', '#FattySausageSauce', '#NotRecommended', '#LowSleepNoExercise']",2024-12-11 10:24:42.299190+00:00,dars112132_46cqbld
45,45,2282,Pasta Fagioli Soup II,A,6,healthy,"['#HealthyPastaFagioliSoup', '#LowCalorieHighProtein', '#NutrientPackedSoup', '#FSA6Approved', '#SatisfyingAndNourishing', '#BalancedMealOption']",2024-12-11 10:22:08.930155+00:00,dars112041_45mythf
44,43,236,Imitation Meatloaf,A,6,healthy,"['#HealthyMeatAlternative', '#LowFatHighProtein', '#NutritiousMeatloafOption', '#FSA6Approved', '#LowCalorieHighProteinDish', '#BalancedMealOption']",2024-12-11 10:21:26.542616+00:00,dars111711_43zpjud
43,44,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSA4Approved', '#NutritiousDietOption', '#ProteinPackedMeal', '#CalorieCountedChili']",2024-12-11 10:19:02.599962+00:00,dars111747_44kbfgi
42,41,3649,Enchilada Casserole,B,10,unhealthy,"['#HealthyEnchiladaCasserole', '#ProteinPackedMeal', '#LowCalorieDish', '#NutrientRichIngredients', '#NotRecommendedForHighBMI', '#FSA10']",2024-12-11 10:18:35.679628+00:00,dars111506_41wopsz
41,42,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyProteinPackedMeal', '#LowFatHighProteinChili', '#NutrientRichBlondeChickenChili', '#FSAapprovedDish', '#BalancedMealOption', '#HighProteinLowCalorieOption']",2024-12-11 10:18:02.216144+00:00,dars111527_42obmui
40,34,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyProteinPackedMeal', '#NutritiousBlackBeanStew', '#FSA6ApprovedRecipe', '#LowFatHighProteinDish', '#BrazilianStewForWellness', '#BalancedDietDelight']",2024-12-11 10:16:58.846596+00:00,dars111424_34qpbek
39,32,5687,Hearty Ham Casserole,C,10,unhealthy,"['#HeartyHamCasserole', '#HamAndVegetableCasserole', '#ProteinPackedMeal', '#CalorieHeavyCasserole', '#UnhealthyButDelicious', '#NotRecommendedForRegularConsumption']",2024-12-11 10:16:47.579168+00:00,dars111351_32nyaea
38,38,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBlackBeanStew', '#HighProteinMeal', '#LowFatDinner', '#NutrientRichDish', '#FSA6Approved', '#EasyHealthyRecipe']",2024-12-11 10:16:45.911970+00:00,dars111447_38plxep
37,39,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#LowCalorieDelight', '#ProteinPackedBites', '#NutritiousEating', '#FitFare', '#DeliciouslyHealthy']",2024-12-11 10:16:45.483823+00:00,dars111452_39nddow
36,40,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSA4Approved', '#NutrientRichMeal', '#EnergyBoostingDish', '#EasyPrepHealthyMeal']",2024-12-11 10:16:35.450502+00:00,dars111503_40xhqau
35,37,2955,Chicken Pasta I,A,5,healthy,"['#HealthyChickenPasta', '#LowCalorieDish', '#HighProteinMeal', '#NutritiousMeal', '#FSAapprovedRecipe', '#BalancedDietOption']",2024-12-11 10:16:07.764084+00:00,dars111444_37keaas
