person,age,country,education,gender,FK_9,FK_10,FK_11,FK_12,sus_1,sus_2,sus_3,sus_4,session_id,Height,Weight,RecipeWebUsage,HomeCook,CookingExp,EatingGoals,Depression,PhysicalActivity,SleepHours,CookingTime,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_hashtag,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,under_1,under_2,under_3,use_1,use_2,condition,n_condition
3005,b25_35,GB,High_school,Female,3,4,2,3,3,2,4,4,6659d6399e4c463086214f01,162,65,Monthly,Weekly,Medium,No Goal,Somewhat,Average (=6h),7-9h,30-60min,5989,Sweet and Sour Drumettes,C,10,unhealthy,"['#UnhealthyEats', '#HighCalorieRecipe', '#UnbalancedDiet', '#HighFatMeal', '#FSA10', '#NutritionNotOnPoint']",4,3,4,5,2,4,2,2,1,5,1,4,2,4,4,3,Hashtags,3
3010,b35_45,GB,High_school,Female,4,4,5,1,4,4,5,1,5c3ee97f6d874c0001bde431,150,45,Weekly,Daily,High,Lose Weight,Not at all,Average (=6h),7-9h,30-60min,936,Pork Chop and Cabbage Casserole,A,4,healthy,"['#HealthyPorkChopCasserole', '#GoodFatsAndProteins', '#LowCalorieMeal', '#NutritiousCabbageCasserole', '#WholesomeIngredients', '#BalancedDietOption']",5,4,4,3,4,2,4,1,1,5,1,4,3,4,5,5,Hashtags,3
3011,b35_45,GB,High_school,Female,4,4,4,2,4,2,4,3,5e130b3f54e2f09436f73393,177,80,Weekly,Weekly,Medium,Lose Weight,Not at all,Average (=6h),7-9h,≤30min,2483,House Fried Rice,B,6,healthy,"['#HealthyEatingChoice', '#LowCalorieOption', '#HighProteinMeal', '#NutrientRichIngredients', '#FSA6Approved', '#TastyAndNourishing']",5,4,4,3,4,2,4,3,1,4,2,4,4,4,4,4,Hashtags,3
3014,b25_35,US,BA,Female,4,4,4,2,4,4,4,4,5d33eba92fd5a40016e58abb,165,61,Monthly,Weekly,Medium,No Goal,Somewhat,Average (=6h),7-9h,≤30min,446,Brazilian Black Bean Stew,A,6,healthy,"['#HealthyBeans', '#ProteinPackedMeal', '#GoodFats', '#NutrientDense', '#FillingAndDelicious', '#BalancedNutrition']",4,3,4,2,4,1,4,1,1,5,5,5,5,5,5,5,Hashtags,3
3019,b45_55,GB,Not,Female,4,4,4,2,4,3,4,3,648811310395937eb98761c4,165,81,Weekly,Weekly,Medium,No Goal,Somewhat,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyProteinPackedDish', '#LowFatHighProteinMeal', '#FSAapprovedRecipe', '#NutrientRichChili', '#DeliciousAndNutritious', '#BalancedMealOption']",5,5,4,4,4,2,5,1,1,4,4,4,4,4,4,4,Hashtags,3
3015,b25_35,GB,MSc,Female,3,4,4,2,4,4,4,4,5f5a12160fb28e0590441a00,171,95,Monthly,Daily,High,No Goal,Not at all,Average (=6h),7-9h,≤30min,2210,Vietnamese Salad Rolls,B,6,healthy,"['#HealthyVietnameseRolls', '#FreshIngredients', '#NutritiousSaladRolls', '#LowCalorieHighProtein', '#FSA6Approved', '#LightAndSatisfying']",4,4,4,4,4,2,4,2,2,4,2,4,4,3,3,2,Hashtags,3
3018,b45_55,GB,MSc,Female,4,4,4,2,4,3,4,4,5e8f89db8ed06f27d73030ae,165,89,Weekly,Weekly,Medium,Lose Weight,Somewhat,Not enough (<3h),7-9h,30-60min,3649,Enchilada Casserole,B,10,unhealthy,"['#HealthyEnchiladaCasserole', '#LowCalorieEnchiladaCasserole', '#ProteinPackedEnchiladaCasserole', '#NutritiousEnchiladaCasserole', '#FSA10EnchiladaCasserole', '#NotForWeightLossEnchiladaCasserole']",4,4,5,3,3,2,4,2,2,4,3,4,4,4,5,5,Hashtags,3
3021,bover_55,GB,High_school,Female,4,4,4,2,4,4,5,3,5ed2717aec79fd1d3ca47d65,154,63,Monthly,Daily,Medium,No Goal,Somewhat,Not enough (<3h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyEating', '#LowCalorieDinner', '#ProteinPackedMeal', '#NutritiousIngredients', '#FSA6Approved', '#QuickAndEasyRecipe']",4,4,4,4,3,1,5,1,1,5,1,5,3,4,1,1,Hashtags,3
3013,b35_45,GB,MSc,Male,3,4,4,2,4,3,2,4,665abd757f12f824a9fc172d,182,97,Weekly,Daily,Medium,Lose Weight,Not at all,Not enough (<3h),≤7h,30-60min,236,Imitation Meatloaf,A,6,healthy,"['#HealthyProteinOption', '#LowFatHighProtein', '#NutrientPackedMeal', '#EasyHealthyOption', '#FillingYetLowCalorie', '#NutritionallyBalancedDish']",3,4,4,4,3,4,2,1,2,4,2,2,2,2,2,4,Hashtags,3
3025,b25_35,GB,High_school,Female,4,4,4,1,4,2,3,4,606cabcd5c1e1e870296997e,164,70,Monthly,Daily,Medium,Lose Weight,Somewhat,Average (=6h),7-9h,30-60min,200,Hoisin-Ginger Beef Skewers,B,6,healthy,"['#HealthyBeefSkewers', '#LowCalorieMeal', '#ProteinPackedDish', '#GingerHoisinMarinade', '#GoodFSArating', '#NutrientRichMeal']",3,2,3,5,2,3,2,3,2,4,2,4,4,3,3,3,Hashtags,3
3016,b25_35,GB,MSc,Female,3,4,3,3,5,2,4,4,66ae48fd0da086847386944f,160,75,Weekly,Daily,Medium,Lose Weight,Not at all,Not enough (<3h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"['#HealthyChickenChili', '#LowFatHighProtein', '#FSA4Approved', '#NutrientRichMeal', '#WeightLossFriendly', '#ProteinPackedDinner']",4,5,4,3,4,4,3,2,1,5,2,4,5,4,4,5,Hashtags,3
3017,b25_35,GB,BA,Male,4,5,3,1,3,2,4,4,66c22291803cf74e9e9df57c,150,174,Monthly,Monthly,Medium,Lose Weight,Somewhat,Average (=6h),≤7h,≤30min,5609,Uglies,D,10,unhealthy,"['#UnhealthyButDelicious', '#HighCalorieLowFiber', '#FattyButProteinRich', '#NotRecommendedForWeightLoss', '#PoorChoiceForLowBMI', '#PrepareWithCaution']",4,3,4,4,4,1,3,2,2,4,4,4,4,4,1,1,Hashtags,3
3020,b25_35,GB,High_school,Female,3,3,1,3,4,2,2,2,595bb6ce647a040001dd300c,161,120,Monthly,Monthly,Low,Lose Weight,Somewhat,A lot (>9h),≤7h,≤30min,494,Apple Glazed Pork Tenderloin,A,6,healthy,"['#HealthyPorkOption', '#AppleGlazedProteinBoost', '#LowFatDinnerChoice', '#FSA6ApprovedMeal', '#EnergyBoostingPorkRecipe', '#NutrientRichPorkDish']",4,4,4,1,4,1,4,2,2,4,4,4,4,4,1,1,Hashtags,3
3024,bover_55,GB,BA,Female,4,4,4,2,5,4,5,3,5ece4756967c2c1e444723ed,164,68,Monthly,Daily,Medium,Lose Weight,Not at all,Average (=6h),≤7h,30-60min,2329,Lentil Loaf,A,5,healthy,"['#HealthyLentilLoaf', '#NutritiousVegetarianMeal', '#LowFatHighProtein', '#FSA5Approved', '#BalancedDietOption', '#EnergyBoostingDish']",2,1,2,5,1,1,3,2,1,4,3,1,3,1,1,3,Hashtags,3
3023,b25_35,GB,High_school,Male,4,4,3,2,3,3,3,4,5fef2fa9efea401f0b55a7c2,180,65,Monthly,Daily,Medium,No Goal,Somewhat,Average (=6h),≤7h,≤30min,3735,Hawaiian Chicken II,C,10,unhealthy,"['#UnhealthyIngredients', '#HighFatLowProtein', '#NotRecommended', '#FSA10', '#CalorieOverload', '#AvoidHawaiianChicken']",4,3,4,3,3,5,2,4,3,4,3,4,3,4,4,3,Hashtags,3
