person,age,country,education,gender,FK_9,FK_10,FK_11,FK_12,sus_1,sus_2,sus_3,sus_4,session_id,Height,Weight,RecipeWebUsage,HomeCook,CookingExp,EatingGoals,Depression,PhysicalActivity,SleepHours,CookingTime,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_explanation,liked_recipes,prepare_recipes,fit_preference,know_many,recommend_recipe,many_to_choose,easy_choice,choice_overwhelming,sys_time,unders_sys,many_actions,under_1,under_2,under_3,use_1,use_2,condition,n_condition
5004,b35_45,GB,BA,Male,4,5,4,1,4,3,2,4,55dd87ed50a1f7001190e563,178,86,Monthly,Daily,High,Lose Weight,Somewhat,Not enough (<3h),7-9h,≥60min,2871,Slow Cooker Vegetable Beef Soup,A,6,healthy,"This Slow Cooker Vegetable Beef Soup is a nutritious dish packed with wholesome ingredients like lean beef, vegetables, and broth, resulting in a FSA score of 6 for optimal health. With only 264 calories, 1.514458042g fat, and 18.0g protein per serving, it is a satisfying and low-calorie option for those looking to maintain their weight. Easy to prepare in a slow cooker, it is perfect for individuals with higher BMI, moderate activity levels, and busy schedules.",4,3,4,5,3,4,4,1,2,4,4,1,4,4,4,2,Explanation,4
5005,b45_55,GB,MSc,Male,3,4,4,2,4,3,5,4,6713a6a34b872f10e42e1502,183,89,Weekly,Daily,High,Lose Weight,Not at all,Average (=6h),≤7h,30-60min,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a hearty and nutritious dish made with lean chicken breast, white beans, and flavorful spices. With a low FSA score of 4, it is a healthy option for individuals looking to maintain a balanced diet without sacrificing taste. Packing a protein punch with 47.2g per serving and only 0.973739897g of fat, this chili is a satisfying choice for those with higher BMI looking to fuel their body for medium activity levels.",4,4,4,5,2,2,4,1,2,4,2,4,4,3,4,2,Explanation,4
5006,b18_24,GB,BA,Female,4,4,4,2,3,2,2,4,663dd8f8001a4460c977b1b7,160,60,Monthly,Daily,High,Lose Weight,Not at all,Not enough (<3h),7-9h,30-60min,2803,Divine Spaghetti Sauce,A,6,healthy,"Divine Spaghetti Sauce is a healthy and delicious option for those looking to enjoy a flavorful meal. With a perfect FSA score of 6, this sauce is low in fat with only 2.879594958g per serving and high in protein with 26.3g. Indulge in this nutritious dish without worrying about jeopardizing your diet or fitness goals.",2,2,2,5,1,3,2,2,4,2,2,2,2,4,4,4,Explanation,4
5007,b45_55,GB,BA,Female,4,4,4,1,1,1,1,4,59e71a3b1ac65d0001eb47ac,167,61,Monthly,Daily,Medium,No Goal,Not at all,Average (=6h),7-9h,30-60min,936,Pork Chop and Cabbage Casserole,A,4,healthy,"A nutritious Pork Chop and Cabbage Casserole is a healthy and satisfying choice, with a FSA score of 4 out of 6. With only 370 calories, 1.307668372g of fat, and 21.5g of protein per serving, this dish is perfect for maintaining a balanced diet. Ideal for individuals with normal BMI, no specific eating goals, adequate sleep, and moderate physical activity levels.",4,4,4,4,3,2,4,1,2,4,1,4,4,4,4,5,Explanation,4
5009,b25_35,GB,BA,Female,3,4,3,2,4,2,4,3,59712abaafd8a4000160ff35,164,53,Weekly,Daily,Medium,Lose Weight,Somewhat,Not enough (<3h),7-9h,30-60min,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a healthy dish made with lean chicken breast, whole wheat pasta, and a flavorful tomato sauce. With a FSA score of 5 out of 6, it's a nutritious option for those looking to maintain a healthy weight. With only 185 calories, 1.307047163g fat, and 15.7g protein, it's a satisfying meal that won't derail your health goals.",4,3,4,4,3,2,4,2,2,4,2,2,2,4,4,4,Explanation,4
5011,b18_24,US,High_school,Female,3,4,4,2,4,2,3,4,65a71e97ef9e5d465ec074ef,157,49,Monthly,Daily,Medium,Gain Weight,Quite a lot,Not enough (<3h),≤7h,≥60min,5440,Sweet and Gooey Chicken Wings,D,11,unhealthy,"These Sweet and Gooey Chicken Wings are high in calories, fat, and protein with a FSA score of 11 out of 12, making them unhealthy for individuals with higher BMI or weight gain goals. The recipe may not be suitable for those with limited sleep, high sedentary lifestyle, and lack of physical activity. It is recommended to opt for a lighter and more balanced meal choice.",3,2,2,5,3,2,4,2,3,4,2,4,4,4,4,3,Explanation,4
5012,b18_24,US,BA,Female,4,5,5,1,5,4,5,2,610ab785360bcd633fb5b0d6,162,63,Weekly,Daily,Medium,No Goal,Somewhat,Not enough (<3h),7-9h,30-60min,5989,Sweet and Sour Drumettes,C,10,unhealthy,"While Sweet and Sour Drumettes may be tasty, they are high in calories with 487 per serving and contain 7.84g of fat, making them less than ideal for those with normal BMI. Additionally, the FSA score of 10 out of 12 is considered unhealthy, making this dish a less nutritious option for those not actively seeking to indulge in a higher calorie meal.",4,4,4,2,4,2,4,1,1,4,1,4,4,4,4,5,Explanation,4
5050,bover_55,GB,MSc,Male,4,4,5,1,5,4,4,4,62e41888387197b61ec6eb6f,162,61,Monthly,Daily,High,No Goal,Not at all,Average (=6h),7-9h,≥60min,446,Brazilian Black Bean Stew,A,6,healthy,"Brazilian Black Bean Stew is a nutrient-rich dish packed with healthy ingredients such as black beans, tomatoes, onions, and bell peppers. With a FSA score of 6 out of 6 and only 508 calories, it is a satisfying and balanced meal that is low in fat (2.36g) and high in protein (22.8g). This hearty stew is the perfect choice for individuals with normal BMI looking for a delicious and nutritious meal to fuel their medium activity level.",4,4,4,5,4,1,5,1,2,4,2,4,4,4,4,4,Explanation,4
5017,b35_45,GB,BA,Female,5,5,5,1,4,3,3,2,60b0f00d76201e617923f93f,160,48,Weekly,Daily,High,No Goal,Quite a lot,Average (=6h),≤7h,30-60min,6371,Blue Cheese Beef Tenderloin,D,10,unhealthy,"Blue Cheese Beef Tenderloin is a rich and indulgent dish, with high fat content (22.07610393g) and a FSA score of 10 out of 12, indicating it is not a healthy choice for individuals with lower BMI or no eating goals. With 669 calories and 35.1g of protein, this recipe is best enjoyed in moderation by those with higher activity levels and ample sleep.",2,1,2,5,1,1,5,1,2,4,1,4,4,5,4,4,Explanation,4
5042,b35_45,GH,BA,Male,5,5,4,4,4,5,4,5,67279b3cecabd363c57c2052,6,200,Weekly,Weekly,High,No Goal,Not at all,Average (=6h),≤7h,30-60min,236,Imitation Meatloaf,A,6,healthy,"Michelle's Blonde Chicken Chili is a healthy dish with a perfect FSA score of 6, containing only 331 calories, 3.867334592g fat, and 17.4g of protein. This recipe is ideal for those with higher BMI, no specific eating goals, limited sleep, and medium activity levels, providing a nutritious and satisfying meal option.",4,5,3,5,4,4,5,4,4,5,4,4,5,4,5,4,Explanation,4
