id,person,recipe_id,recipe_name,Nutri_score,fsa_score,healthiness,llm_explanation,created,session_id
83,89,5474,Ham Chowder,B,10,unhealthy,"Ham Chowder is a creamy soup made with high-fat ingredients like ham and heavy cream, resulting in a high calorie count of 438 and 5.263463217g of fat per serving. With a poor FSA score of 10 out of 12, this dish is not recommended for individuals with lower BMI or no specific dietary goals, especially those getting enough sleep and engaging in only somewhat or medium levels of physical activity.",2024-12-11 14:02:49.432010+00:00,dars145054_89qaerc
82,86,3649,Enchilada Casserole,B,10,unhealthy,"Enchilada Casserole is a flavorful dish packed with unhealthy fats and calories, earning a poor FSA score of 10 out of 12. With 375 calories, 9.74g of fat, and 17.4g of protein, this recipe is not suitable for individuals with higher BMI aiming to lose weight. It's best to avoid this high-fat dish if you are not maintaining a healthy lifestyle with enough sleep and moderate physical activity.",2024-12-11 13:52:39.532552+00:00,dars144907_86gqgxp
81,88,561,Moroccan Tagine,A,6,healthy,"Moroccan Tagine is a flavorful dish made with lean protein, vegetables, and fragrant spices. With a low FSA score of 6, only 265 calories, 0.963675413g fat, and 14.1g protein per serving, it is a delicious and healthy choice for those looking to maintain their weight and fuel their body for moderate activity. Prepare this recipe to enjoy a nutritious meal that won't leave you feeling weighed down.",2024-12-11 13:51:42.057821+00:00,dars144959_88chgfc
80,87,4167,Chicken Breast Stuffed with Spinach Blue Cheese and Bacon,C,10,unhealthy,"This dish, Chicken Breast Stuffed with Spinach, Blue Cheese, and Bacon, has a high FSA score of 10 out of 12, indicating it is not a healthy choice for those looking to reduce weight. With 444 calories, 9.45g of fat, and 41.6g of protein, it is not suitable for individuals with a higher BMI, poor sleep habits, and low physical activity levels. It is not recommended for consumption in this scenario.",2024-12-11 13:50:54.268954+00:00,dars144908_87gmjbc
79,85,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish containing lean chicken breast and whole wheat pasta, resulting in a FSA score of 5 out of 6. With only 185 calories, 1.31g of fat, and 15.7g of protein, this meal is a healthy option for those with higher BMI but no specific eating goals, getting enough sleep, who are not at all active, and have medium activity levels.",2024-12-11 11:59:44.859248+00:00,dars125723_85jhqjs
78,84,494,Apple Glazed Pork Tenderloin,A,6,healthy,"This Apple Glazed Pork Tenderloin is a delicious and nutritious dish, with a high protein content of 22.5g per serving and only 1.933534743g of fat. With a FSA score of 6 out of 6, this recipe is a healthy option for those with a normal BMI and medium activity level. At 434 calories, this meal is a balanced choice for individuals looking for a satisfying and flavorful meal.",2024-12-11 11:57:59.722986+00:00,dars125626_84aojgg
77,83,2955,Chicken Pasta I,A,5,healthy,"Chicken Pasta I is a nutritious dish packed with lean chicken and whole wheat pasta, making it a healthy choice for those looking to maintain a balanced diet. With a low FSA score of 5 out of 6, 185 calories, 1.3g fat, and 15.7g protein, this recipe is not only delicious but also guilt-free. For individuals with higher BMI, adequate sleep, and moderate activity levels, Chicken Pasta I is an ideal option to enjoy a satisfying meal without compromising health goals.",2024-12-11 09:30:47.248528+00:00,dars102913_83nbbco
76,80,4416,Parmesan Artichoke Casserole,D,10,unhealthy,"This Parmesan Artichoke Casserole is a high calorie dish with 16.69383335g of fat and a FSA score of 10 out of 12, indicating it is not very healthy. With 15.7g of protein, it may not be suitable for individuals with a higher BMI and no specific eating goals, limited sleep, low activity levels, and little desire to prepare a nutritious meal.",2024-12-11 09:29:28.346154+00:00,dars102629_80urphh
75,82,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a flavorful and nutritious dish packed with lean protein and low in fat, earning a top FSA score of 4. With only 412 calories per serving, this chili is a satisfying and healthy option for those looking to fuel their bodies with wholesome ingredients. Perfect for individuals with higher BMI, limited sleep, and minimal activity levels, this recipe offers a balanced meal without sacrificing taste or nutrition.",2024-12-11 09:28:59.015869+00:00,dars102650_82fwnev
74,79,1005,Michelle's Blonde Chicken Chili,A,4,healthy,"Michelle's Blonde Chicken Chili is a healthy and satisfying dish, with a FSA score of 4 out of 6. At only 412 calories per serving, it is low in fat (0.973739897g) and high in protein (47.2g), making it a great option for those with higher BMI. It is the perfect choice for individuals who are not looking to lose weight but still want a nutritious meal to fuel their medium activity level despite having few hours of sleep.",2024-12-11 09:28:38.338011+00:00,dars102620_79bmdjj
73,78,3735,Hawaiian Chicken II,C,10,unhealthy,"Hawaiian Chicken II is a high-calorie dish with 540 calories and a high fat content of 4.739843486g, resulting in a FSA score of 10 out of 12, which is considered bad for your health. With 24.9g of protein, this dish may not be suitable for someone with normal BMI, no eating goals, few hours of sleep, not much physical activity, or looking to maintain a healthy diet.",2024-12-11 09:28:37.787474+00:00,dars102520_78gbfrz
